"",".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"122","Confidence","2013","2022",0.956521739130435,1,"0.9565","ns","Wilcoxon"
"123","Confidence","2013","2024",0.909090909090909,1,"0.9091","ns","Wilcoxon"
"124","Confidence","2013","2016",0.666666666666667,1,"0.6667","ns","Wilcoxon"
"125","Confidence","2013","2011",0.8,1,"0.8000","ns","Wilcoxon"
"126","Confidence","2013","2018",0.666666666666667,1,"0.6667","ns","Wilcoxon"
"127","Confidence","2014","2015",1,1,"1.0000","ns","Wilcoxon"
"128","Confidence","2014","2017",0.337820942719492,1,"0.3378","ns","Wilcoxon"
"129","Confidence","2014","2019",0.190671482440189,1,"0.1907","ns","Wilcoxon"
"130","Confidence","2014","2020",0.199344885746315,1,"0.1993","ns","Wilcoxon"
"131","Confidence","2014","2022",0.284249211072497,1,"0.2842","ns","Wilcoxon"
"132","Confidence","2014","2024",0.114161636472864,1,"0.1142","ns","Wilcoxon"
"133","Confidence","2014","2016",0.392156862745098,1,"0.3922","ns","Wilcoxon"
"134","Confidence","2014","2011",0.819814241486068,1,"0.8198","ns","Wilcoxon"
"135","Confidence","2014","2018",0.941176470588235,1,"0.9412","ns","Wilcoxon"
"136","Confidence","2015","2017",0.875,1,"0.8750","ns","Wilcoxon"
"137","Confidence","2015","2019",0.782608695652174,1,"0.7826","ns","Wilcoxon"
"138","Confidence","2015","2020",0.764705882352941,1,"0.7647","ns","Wilcoxon"
"139","Confidence","2015","2022",0.782608695652174,1,"0.7826","ns","Wilcoxon"
"140","Confidence","2015","2024",0.625,1,"0.6250","ns","Wilcoxon"
"141","Confidence","2015","2016",1,1,"1.0000","ns","Wilcoxon"
"142","Confidence","2015","2011",1,1,"1.0000","ns","Wilcoxon"
"143","Confidence","2015","2018",1,1,"1.0000","ns","Wilcoxon"
"144","Confidence","2017","2019",0.0104104120478523,1,"0.0104","*","Wilcoxon"
"145","Confidence","2017","2020",0.0234769173949906,1,"0.0235","*","Wilcoxon"
"146","Confidence","2017","2022",0.0699952048011415,1,"0.0700","ns","Wilcoxon"
"147","Confidence","2017","2024",0.00158163236871014,0.27,"0.0016","**","Wilcoxon"
"148","Confidence","2017","2016",1,1,"1.0000","ns","Wilcoxon"
"149","Confidence","2017","2011",0.530443756449948,1,"0.5304","ns","Wilcoxon"
"150","Confidence","2017","2018",0.5,1,"0.5000","ns","Wilcoxon"
"151","Confidence","2019","2020",0.99320587274275,1,"0.9932","ns","Wilcoxon"
"152","Confidence","2019","2022",0.990732742060038,1,"0.9907","ns","Wilcoxon"
"153","Confidence","2019","2024",0.687151488468351,1,"0.6872","ns","Wilcoxon"
"154","Confidence","2019","2016",0.304347826086957,1,"0.3043","ns","Wilcoxon"
"155","Confidence","2019","2011",0.607357859531772,1,"0.6074","ns","Wilcoxon"
"156","Confidence","2019","2018",0.956521739130435,1,"0.9565","ns","Wilcoxon"
"157","Confidence","2020","2022",0.925370970275212,1,"0.9254","ns","Wilcoxon"
"158","Confidence","2020","2024",0.659670143501736,1,"0.6597","ns","Wilcoxon"
"159","Confidence","2020","2016",0.272268907563025,1,"0.2723","ns","Wilcoxon"
"160","Confidence","2020","2011",0.62024377318495,1,"0.6202","ns","Wilcoxon"
"161","Confidence","2020","2018",0.882352941176471,1,"0.8824","ns","Wilcoxon"
"162","Confidence","2022","2024",0.501723746125522,1,"0.5017","ns","Wilcoxon"
"163","Confidence","2022","2016",0.304347826086957,1,"0.3043","ns","Wilcoxon"
"164","Confidence","2022","2011",0.810702341137123,1,"0.8107","ns","Wilcoxon"
"165","Confidence","2022","2018",0.782608695652174,1,"0.7826","ns","Wilcoxon"
"166","Confidence","2024","2016",0.272727272727273,1,"0.2727","ns","Wilcoxon"
"167","Confidence","2024","2011",0.564935064935065,1,"0.5649","ns","Wilcoxon"
"168","Confidence","2024","2018",0.6875,1,"0.6875","ns","Wilcoxon"
"169","Confidence","2016","2011",0.533333333333333,1,"0.5333","ns","Wilcoxon"
"170","Confidence","2016","2018",1,1,"1.0000","ns","Wilcoxon"
"171","Confidence","2011","2018",1,1,"1.0000","ns","Wilcoxon"
"172","Desire","2006","2007",0.449136810154444,1,"0.4491","ns","Wilcoxon"
"173","Desire","2006","2009",0.156862745098039,1,"0.1569","ns","Wilcoxon"
"174","Desire","2006","2008",0.574292636963252,1,"0.5743","ns","Wilcoxon"
"175","Desire","2006","2021",0.0595955558776934,1,"0.0596","ns","Wilcoxon"
"176","Desire","2006","2010",0.0254431309690777,1,"0.0254","*","Wilcoxon"
"177","Desire","2006","2012",0.606315062436669,1,"0.6063","ns","Wilcoxon"
"178","Desire","2006","2023",0.0170640879675836,1,"0.0171","*","Wilcoxon"
"179","Desire","2006","2013",0.021978021978022,1,"0.0220","*","Wilcoxon"
"180","Desire","2006","2014",0.0592528603297213,1,"0.0593","ns","Wilcoxon"
"181","Desire","2006","2015",0.153846153846154,1,"0.1538","ns","Wilcoxon"
"182","Desire","2006","2017",0.00173942956282437,0.3,"0.0017","**","Wilcoxon"
"183","Desire","2006","2019",0.00671190824088758,1,"0.0067","**","Wilcoxon"
"184","Desire","2006","2020",0.568445354143108,1,"0.5684","ns","Wilcoxon"
"185","Desire","2006","2022",0.292388676483536,1,"0.2924","ns","Wilcoxon"
"186","Desire","2006","2024",0.0222921300072195,1,"0.0223","*","Wilcoxon"
"187","Desire","2006","2016",0.549450549450549,1,"0.5495","ns","Wilcoxon"
"188","Desire","2006","2011",0.598901098901099,1,"0.5989","ns","Wilcoxon"
"189","Desire","2006","2018",0.615384615384615,1,"0.6154","ns","Wilcoxon"
"190","Desire","2007","2009",0.442142309015374,1,"0.4421","ns","Wilcoxon"
"191","Desire","2007","2008",0.954685306616926,1,"0.9547","ns","Wilcoxon"
"192","Desire","2007","2021",0.202176605195854,1,"0.2022","ns","Wilcoxon"
"193","Desire","2007","2010",0.249739708900129,1,"0.2497","ns","Wilcoxon"
"194","Desire","2007","2012",0.925156972795653,1,"0.9252","ns","Wilcoxon"
"195","Desire","2007","2023",0.317451858223578,1,"0.3175","ns","Wilcoxon"
"196","Desire","2007","2013",0.230769230769231,1,"0.2308","ns","Wilcoxon"
"197","Desire","2007","2014",0.294212677736705,1,"0.2942","ns","Wilcoxon"
"198","Desire","2007","2015",0.666666666666667,1,"0.6667","ns","Wilcoxon"
"199","Desire","2007","2017",0.108557938225457,1,"0.1086","ns","Wilcoxon"
"200","Desire","2007","2019",0.233008609425643,1,"0.2330","ns","Wilcoxon"
"201","Desire","2007","2020",0.893791360379237,1,"0.8938","ns","Wilcoxon"
"202","Desire","2007","2022",0.777999988839327,1,"0.7780","ns","Wilcoxon"
"203","Desire","2007","2024",0.244795872773861,1,"0.2448","ns","Wilcoxon"
"204","Desire","2007","2016",0.512820512820513,1,"0.5128","ns","Wilcoxon"
"205","Desire","2007","2011",1,1,"1.0000","ns","Wilcoxon"
"206","Desire","2007","2018",0.666666666666667,1,"0.6667","ns","Wilcoxon"
"207","Desire","2009","2008",0.210260946483857,1,"0.2103","ns","Wilcoxon"
"208","Desire","2009","2021",0.92033649185352,1,"0.9203","ns","Wilcoxon"
"209","Desire","2009","2010",0.979266916658221,1,"0.9793","ns","Wilcoxon"
"210","Desire","2009","2012",0.256326195876421,1,"0.2563","ns","Wilcoxon"
"211","Desire","2009","2023",0.935022323214543,1,"0.9350","ns","Wilcoxon"
"212","Desire","2009","2013",0.4,1,"0.4000","ns","Wilcoxon"
"213","Desire","2009","2014",0.833960822384567,1,"0.8340","ns","Wilcoxon"
"214","Desire","2009","2015",1,1,"1.0000","ns","Wilcoxon"
"215","Desire","2009","2017",0.728361825279311,1,"0.7284","ns","Wilcoxon"
"216","Desire","2009","2019",0.87229274251763,1,"0.8723","ns","Wilcoxon"
"217","Desire","2009","2020",0.291136859708935,1,"0.2911","ns","Wilcoxon"
"218","Desire","2009","2022",0.629139789079819,1,"0.6291","ns","Wilcoxon"
"219","Desire","2009","2024",0.87807417064383,1,"0.8781","ns","Wilcoxon"
"220","Desire","2009","2016",0.266666666666667,1,"0.2667","ns","Wilcoxon"
"221","Desire","2009","2011",1,1,"1.0000","ns","Wilcoxon"
"222","Desire","2009","2018",0.444444444444444,1,"0.4444","ns","Wilcoxon"
"223","Desire","2008","2021",0.154582292617021,1,"0.1546","ns","Wilcoxon"
"224","Desire","2008","2010",0.181985309188724,1,"0.1820","ns","Wilcoxon"
"225","Desire","2008","2012",0.906230767782279,1,"0.9062","ns","Wilcoxon"
"226","Desire","2008","2023",0.105639045623926,1,"0.1056","ns","Wilcoxon"
"227","Desire","2008","2013",0.0380952380952381,1,"0.0381","*","Wilcoxon"
"228","Desire","2008","2014",0.199058070846635,1,"0.1991","ns","Wilcoxon"
"229","Desire","2008","2015",0.428571428571429,1,"0.4286","ns","Wilcoxon"
"230","Desire","2008","2017",0.0253048435239847,1,"0.0253","*","Wilcoxon"
"231","Desire","2008","2019",0.0178354574407023,1,"0.0178","*","Wilcoxon"
"232","Desire","2008","2020",0.980788923488438,1,"0.9808","ns","Wilcoxon"
"233","Desire","2008","2022",0.578150984144686,1,"0.5782","ns","Wilcoxon"
"234","Desire","2008","2024",0.117513820956645,1,"0.1175","ns","Wilcoxon"
"235","Desire","2008","2016",0.476190476190476,1,"0.4762","ns","Wilcoxon"
"236","Desire","2008","2011",1,1,"1.0000","ns","Wilcoxon"
"237","Desire","2008","2018",0.285714285714286,1,"0.2857","ns","Wilcoxon"
"238","Desire","2021","2010",0.732874156763261,1,"0.7329","ns","Wilcoxon"
"239","Desire","2021","2012",0.180488407493491,1,"0.1805","ns","Wilcoxon"
